k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,hyouji,orders2
-1,0,0,0,0,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0,0,0
0,1,0,inf,ι1,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι1,inf
0,2,0,inf,ι2,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι2,inf
0,3,0,inf,ι3,,0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι3,inf
0,5,0,inf,ι5,"Prop5.1, \ \Delta(ι_5)=\pm 2η_2",2 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι5,inf
0,7,0,inf,ι7,"Lem5.4, \ H(\nu_4)=ι_7",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι7,inf
0,9,0,inf,ι9,"(5.8), \ \Delta(ι_9)=\pm (2ν_4-E ν')",2 -1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι9,inf
0,11,0,inf,ι11,"(5.10), \ \Delta(ι_{11})=ν_5η_8",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι11,inf
0,13,0,inf,ι13,\Delta(ι_{13})=\Delta(ι_{13}),1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι13,inf
0,15,0,inf,ι15,"Lem5.14, \ H(\sigma_8)=ι_{15}",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι15,inf
0,17,0,inf,ι17,"(5.16), \ \Delta(ι_{17})=\pm (2σ_8-E σ')",2 -1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι17,inf
0,19,0,inf,ι19,"(7.1), \ \Delta(ι_{19})=σ_9η_{16}+\bar{\nu}_9+ε_9",1 1 1 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι19,inf
0,21,0,inf,ι21,\Delta(ι_{21})=\Delta(ι_{21}),1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι21,inf
0,23,0,inf,ι23,\Delta(ι_{23})=σ_{11}ν_{18},1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι23,inf
0,25,0,inf,ι25,\Delta(ι_{25})=\Delta(ι_{25}),1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι25,inf
0,27,0,inf,ι27,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι27,inf
0,29,0,inf,ι29,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι29,inf
0,31,0,inf,ι31,"(10.10), \ \Delta(ι_{31})=2σ_{15}^2",2 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι31,inf
0,33,0,inf,ι33,,0 0 1 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι33,inf
0,35,0,inf,ι35,"p160, \ \Delta(ι_{35})\equiv η^{*}_{17} \mod E ^2 π_{31}^{15}",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι35,inf
0,37,0,inf,ι37,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι37,inf
0,39,0,inf,ι39,"Cor12.25, \ \Delta(ι_{39})=ν^{*}_{19}+ξ_{19}",1 1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι39,inf
0,41,0,inf,ι41,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι41,inf
0,43,0,inf,ι43,,0 1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι43,inf
0,45,0,inf,ι45,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι45,inf
0,47,0,inf,ι47,"[M] Lem8.3, \ \Delta(ι_{47})=σ^{*}_{23}",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι47,inf
0,49,0,inf,ι49,,0 0 0 1 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι49,inf
0,51,0,inf,ι51,"[MMO] (5.22), \ \Delta({\iota_{51}})={E\widetilde{\eta}}",0 0 1 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι51,inf
0,53,0,inf,ι53,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι53,inf
0,55,0,inf,ι55,"[O1] (8.34), \ \Delta({\iota_{55}})={ E ^{3}M_{2}}",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι55,inf
0,57,0,inf,ι57,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι57,inf
0,59,0,inf,ι59,"[O2] Prop4.5(18), \ \Delta({\iota_{59}})={EA_{3}}",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι59,inf
0,61,0,inf,ι61,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι61,inf
0,63,0,inf,ι63,"[O3] (8.31), \ \Delta({\iota_{63}})=2{\theta'_{31}}",2 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι63,inf
0,65,0,inf,ι65,,1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,1,1 0 0 0 0 0 0 0 0 0 0 0,ι65,inf
0,,,,,,,,,,,,,,
1,1,0,0,0,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,,0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0,0,0
1,2,0,inf,η2,,,,1 0 0 0 0 0 0 0 0 0 0 0,H(η_2)=\pm ι_3,1 0 0 0 0 0 0 0 0 0 0 0,2,1 0 0 0 0 0 0 0 0 0 0 0,η2,inf
1,3,0,2,η3,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η3,2
1,4,0,2,η4,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η4,2
1,5,0,2,η5,"p40, \ \Delta(η_5)=0",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η5,2
1,7,0,2,η7,"(5.6), \ E : \pi_{6}^3 \rightarrow \pi_{7}^4, \ into",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η7,2
1,9,0,2,η9,"(5.11), \ \Delta(η_9)=E ν'η_7",0 1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η9,2
1,11,0,2,η11,"(5.10), \ \Delta(ι_{11})=ν_5η_8",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η11,2
1,13,0,2,η13,"(5.13), \ \Delta(η_{13})=0",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η13,2
1,15,0,2,η15,"(5.15), \ E : \pi_{14}^7 \rightarrow \pi_{15}^8, \ into",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η15,2
1,17,0,2,η17,"p63, \ \Delta(η_{17})=E σ'η_{15}",0 1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η17,2
1,19,0,2,η19,"p64, \ \Delta(η_{19})=σ_9η_{16}^2+ν_{9}^3+η_{9}ε_{10}",1 1 0 1 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η19,2
1,21,0,2,η21,\Delta(η_{21})=2σ_{10}ν_{17},2 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η21,2
1,23,0,2,η23,,0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η23,2
1,25,0,2,η25,"p80, \ \Delta(η_{25})=E θ'",0 1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η25,2
1,27,0,2,η27,"(7.30), \ \Delta(ι_{27})=E θ",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η27,2
1,29,0,2,η29,"(10.10), \ \Delta(η_{29})=4σ_{14}^2",4 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η29,2
1,31,0,2,η31,"(10.21), \ \Delta(η_{31})=0",0 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η31,2
1,33,0,2,η33,"p160, \ \Delta(η_{33})\equiv E η^{*}{'} \mod E ^2π_{30}^{14}",0 1 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η33,2
1,35,0,2,η35,"p160, \ \Delta(η_{35})\equivη^{*}_{17}η_{33} \mod E ^2 π_{32}^{15}",1 0 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η35,2
1,37,0,2,η37,"Cor12.25, \ \Delta(η_{37})=2(ν^{*}_{18}+ξ_{18})",2 2 0 0 0 0 0 0 0 0 0 0,,1 0 0 0 0 0 0 0 0 0 0 0,,,2,1 0 0 0 0 0 0 0 0 0 0 0,η37,2
